材质,通道,图像,尺寸,已打包
V4_leather_Door_RB_INT_6S,Base Color,02_nappa_seat_BaseColor.png,2048 × 2048,True
V4_leather_Door_RB_INT_6S,Normal,02_nappa_seat_Normal.png,2048 × 2048,True
V4_leather_Door_RB_INT_6S,Roughness,02_nappa_seat_Roughness.png,2048 × 2048,True
V4_fabric_Door_RB_INT_6S,Base Color,03_alcantara_headliner_BaseColor.png,2048 × 2048,True
V4_fabric_Door_RB_INT_6S,Normal,03_alcantara_headliner_Normal.png,2048 × 2048,True
V4_fabric_Door_RB_INT_6S,Roughness,03_alcantara_headliner_Roughness.png,2048 × 2048,True
TX_061_CabinV2_Door_INT_2.001,Base Color,9X_lanbai_INT_2.jpg.001,1024 × 1024,True
TX_061_CabinV2_Door_INT_2.001,Normal,INT_normal2.jpg.001,1024 × 1024,True
TX_061_CabinV2_Door_INT_2.001,Roughness,roughness.jpg,2048 × 2048,True
TX_062_CabinV2_Door_INT_2.001,Base Color,9X_lanbai_INT_2.jpg.001,1024 × 1024,True
TX_062_CabinV2_Door_INT_2.001,Normal,INT_normal2.jpg.001,1024 × 1024,True
TX_062_CabinV2_Door_INT_2.001,Roughness,roughness.jpg,2048 × 2048,True
V4_fabric_Door_RB_INT_NO_sunshade,Base Color,03_alcantara_headliner_BaseColor.png,2048 × 2048,True
V4_fabric_Door_RB_INT_NO_sunshade,Normal,03_alcantara_headliner_Normal.png,2048 × 2048,True
V4_fabric_Door_RB_INT_NO_sunshade,Roughness,03_alcantara_headliner_Roughness.png,2048 × 2048,True
TX_063_CabinV2_Door_INT_2.001,Base Color,9X_lanbai_INT_2.jpg.001,1024 × 1024,True
TX_063_CabinV2_Door_INT_2.001,Normal,INT_normal2.jpg.001,1024 × 1024,True
TX_063_CabinV2_Door_INT_2.001,Roughness,roughness.jpg,2048 × 2048,True
TX_064_CabinV2_Door_INT_2.001,Base Color,9X_lanbai_INT_2.jpg.001,1024 × 1024,True
TX_064_CabinV2_Door_INT_2.001,Normal,INT_normal2.jpg.001,1024 × 1024,True
TX_064_CabinV2_Door_INT_2.001,Roughness,roughness.jpg,2048 × 2048,True
V4_leather_Door_RF_WG,Base Color,02_nappa_seat_BaseColor.png,2048 × 2048,True
V4_leather_Door_RF_WG,Normal,02_nappa_seat_Normal.png,2048 × 2048,True
V4_leather_Door_RF_WG,Roughness,02_nappa_seat_Roughness.png,2048 × 2048,True
V4_fabric_Door_RF_WG,Base Color,03_alcantara_headliner_BaseColor.png,2048 × 2048,True
V4_fabric_Door_RF_WG,Normal,03_alcantara_headliner_Normal.png,2048 × 2048,True
V4_fabric_Door_RF_WG,Roughness,03_alcantara_headliner_Roughness.png,2048 × 2048,True
V4_leather_PassengerBackrestShell,Base Color,02_nappa_seat_BaseColor.png,2048 × 2048,True
V4_leather_PassengerBackrestShell,Normal,02_nappa_seat_Normal.png,2048 × 2048,True
V4_leather_PassengerBackrestShell,Roughness,02_nappa_seat_Roughness.png,2048 × 2048,True
TX_065_CabinV2_Door_INT_2.001,Base Color,9X_lanbai_INT_2.jpg.001,1024 × 1024,True
TX_065_CabinV2_Door_INT_2.001,Normal,INT_normal2.jpg.001,1024 × 1024,True
TX_065_CabinV2_Door_INT_2.001,Roughness,roughness.jpg,2048 × 2048,True
TX_066_CabinV2_Headliner_INT_2.001,Base Color,9X_lanbai_INT_2.jpg.001,1024 × 1024,True
TX_066_CabinV2_Headliner_INT_2.001,Normal,INT_normal2.jpg.001,1024 × 1024,True
TX_066_CabinV2_Headliner_INT_2.001,Roughness,V5_unit_factor,2048 × 2048,True
V5_Vent_SoftBlack,Base Color,V5_Base Color_e9cbccc594a4,2048 × 2048,True
V5_Vent_SoftBlack,Normal,V5_flat_normal,2048 × 2048,True
V5_Vent_SoftBlack,Roughness,V5_Roughness_04de408d8827,2048 × 2048,True
CabinV2_WarmGrey_Thread.001,Base Color,V5_Base Color_68f994877572,2048 × 2048,True
CabinV2_WarmGrey_Thread.001,Normal,V5_flat_normal,2048 × 2048,True
CabinV2_WarmGrey_Thread.001,Roughness,V5_Roughness_0d5802c9e5a9,2048 × 2048,True
