材质,通道,图像,尺寸,已打包
TX_020_CabinV2_Leather_DeepNavy,Base Color,V5_Base Color_25aa5357884d,2048 × 2048,True
TX_020_CabinV2_Leather_DeepNavy,Normal,V5_flat_normal,2048 × 2048,True
TX_020_CabinV2_Leather_DeepNavy,Roughness,V5_unit_factor,2048 × 2048,True
TX_023_CabinV2_Leather_Perforated_Cushion,Base Color,V5_unit_factor,2048 × 2048,True
TX_023_CabinV2_Leather_Perforated_Cushion,Normal,V5_flat_normal,2048 × 2048,True
TX_023_CabinV2_Leather_Perforated_Cushion,Roughness,V5_unit_factor,2048 × 2048,True
TX_021_CabinV2_Leather_WarmIvory,Base Color,V5_Base Color_5e9e6dece00b,2048 × 2048,True
TX_021_CabinV2_Leather_WarmIvory,Normal,V5_flat_normal,2048 × 2048,True
TX_021_CabinV2_Leather_WarmIvory,Roughness,V5_unit_factor,2048 × 2048,True
TX_022_CabinV2_Leather_DeepNavy,Base Color,V5_Base Color_25aa5357884d,2048 × 2048,True
TX_022_CabinV2_Leather_DeepNavy,Normal,V5_flat_normal,2048 × 2048,True
TX_022_CabinV2_Leather_DeepNavy,Roughness,V5_unit_factor,2048 × 2048,True
TX_026_CabinV2_Leather_Perforated_Cushion,Base Color,V5_unit_factor,2048 × 2048,True
TX_026_CabinV2_Leather_Perforated_Cushion,Normal,V5_flat_normal,2048 × 2048,True
TX_026_CabinV2_Leather_Perforated_Cushion,Roughness,V5_unit_factor,2048 × 2048,True
TX_024_CabinV2_Leather_WarmIvory,Base Color,V5_Base Color_5e9e6dece00b,2048 × 2048,True
TX_024_CabinV2_Leather_WarmIvory,Normal,V5_flat_normal,2048 × 2048,True
TX_024_CabinV2_Leather_WarmIvory,Roughness,V5_unit_factor,2048 × 2048,True
TX_025_CabinV2_Leather_DeepNavy,Base Color,V5_Base Color_25aa5357884d,2048 × 2048,True
TX_025_CabinV2_Leather_DeepNavy,Normal,V5_flat_normal,2048 × 2048,True
TX_025_CabinV2_Leather_DeepNavy,Roughness,V5_unit_factor,2048 × 2048,True
TX_027_CabinV2_Leather_WarmIvory,Base Color,V5_Base Color_5e9e6dece00b,2048 × 2048,True
TX_027_CabinV2_Leather_WarmIvory,Normal,V5_flat_normal,2048 × 2048,True
TX_027_CabinV2_Leather_WarmIvory,Roughness,V5_unit_factor,2048 × 2048,True
TX_028_CabinV2_Leather_WarmIvory,Base Color,V5_Base Color_5e9e6dece00b,2048 × 2048,True
TX_028_CabinV2_Leather_WarmIvory,Normal,V5_flat_normal,2048 × 2048,True
TX_028_CabinV2_Leather_WarmIvory,Roughness,V5_unit_factor,2048 × 2048,True
TX_029_CabinV2_Leather_DeepNavy,Base Color,V5_Base Color_25aa5357884d,2048 × 2048,True
TX_029_CabinV2_Leather_DeepNavy,Normal,V5_flat_normal,2048 × 2048,True
TX_029_CabinV2_Leather_DeepNavy,Roughness,V5_unit_factor,2048 × 2048,True
TX_032_CabinV2_Leather_Perforated_Cushion,Base Color,V5_unit_factor,2048 × 2048,True
TX_032_CabinV2_Leather_Perforated_Cushion,Normal,V5_flat_normal,2048 × 2048,True
TX_032_CabinV2_Leather_Perforated_Cushion,Roughness,V5_unit_factor,2048 × 2048,True
TX_030_CabinV2_Leather_WarmIvory,Base Color,V5_Base Color_5e9e6dece00b,2048 × 2048,True
TX_030_CabinV2_Leather_WarmIvory,Normal,V5_flat_normal,2048 × 2048,True
TX_030_CabinV2_Leather_WarmIvory,Roughness,V5_unit_factor,2048 × 2048,True
TX_031_CabinV2_Leather_DeepNavy,Base Color,V5_Base Color_25aa5357884d,2048 × 2048,True
TX_031_CabinV2_Leather_DeepNavy,Normal,V5_flat_normal,2048 × 2048,True
TX_031_CabinV2_Leather_DeepNavy,Roughness,V5_unit_factor,2048 × 2048,True
TX_033_CabinV2_Leather_WarmIvory,Base Color,V5_Base Color_5e9e6dece00b,2048 × 2048,True
TX_033_CabinV2_Leather_WarmIvory,Normal,V5_flat_normal,2048 × 2048,True
TX_033_CabinV2_Leather_WarmIvory,Roughness,V5_unit_factor,2048 × 2048,True
TX_034_CabinV2_Leather_DeepNavy,Base Color,V5_Base Color_25aa5357884d,2048 × 2048,True
TX_034_CabinV2_Leather_DeepNavy,Normal,V5_flat_normal,2048 × 2048,True
TX_034_CabinV2_Leather_DeepNavy,Roughness,V5_unit_factor,2048 × 2048,True
TX_035_CabinV2_Leather_WarmIvory,Base Color,V5_Base Color_5e9e6dece00b,2048 × 2048,True
TX_035_CabinV2_Leather_WarmIvory,Normal,V5_flat_normal,2048 × 2048,True
TX_035_CabinV2_Leather_WarmIvory,Roughness,V5_unit_factor,2048 × 2048,True
TX_038_CabinV2_Leather_Perforated_Backrest,Base Color,V5_unit_factor,2048 × 2048,True
TX_038_CabinV2_Leather_Perforated_Backrest,Normal,V5_flat_normal,2048 × 2048,True
TX_038_CabinV2_Leather_Perforated_Backrest,Roughness,V5_unit_factor,2048 × 2048,True
TX_036_CabinV2_Leather_WarmIvory,Base Color,V5_Base Color_5e9e6dece00b,2048 × 2048,True
TX_036_CabinV2_Leather_WarmIvory,Normal,V5_flat_normal,2048 × 2048,True
TX_036_CabinV2_Leather_WarmIvory,Roughness,V5_unit_factor,2048 × 2048,True
TX_037_CabinV2_Leather_DeepNavy,Base Color,V5_Base Color_25aa5357884d,2048 × 2048,True
TX_037_CabinV2_Leather_DeepNavy,Normal,V5_flat_normal,2048 × 2048,True
TX_037_CabinV2_Leather_DeepNavy,Roughness,V5_unit_factor,2048 × 2048,True
TX_041_CabinV2_Leather_Perforated_Backrest,Base Color,V5_unit_factor,2048 × 2048,True
TX_041_CabinV2_Leather_Perforated_Backrest,Normal,V5_flat_normal,2048 × 2048,True
TX_041_CabinV2_Leather_Perforated_Backrest,Roughness,V5_unit_factor,2048 × 2048,True
